country,year,gdp_growth,inflation,unemployment,exports_usd_bn,imports_usd_bn,population_m,internet_users_pct,co2_per_capita
Georgia,2020,-6.8,5.2,18.5,3.3,8.1,3.7,70.1,2.4
Georgia,2021,10.5,9.6,20.6,4.2,9.7,3.7,76.4,2.6
Georgia,2022,11.0,11.9,17.3,5.6,12.0,3.7,79.2,2.8
Georgia,2023,7.5,2.5,16.4,6.1,13.2,3.7,82.0,2.9
Armenia,2020,-7.4,1.2,18.2,2.5,4.6,2.9,66.5,1.9
Armenia,2021,5.7,7.2,15.5,3.0,5.4,2.9,76.5,2.0
Armenia,2022,12.6,8.6,13.4,5.4,8.7,2.9,78.6,2.1
Armenia,2023,8.7,2.0,12.6,7.0,9.9,2.9,80.0,2.2
Azerbaijan,2020,-4.3,2.8,7.2,13.7,10.7,10.1,80.0,3.4
Azerbaijan,2021,5.6,6.7,6.0,22.2,11.7,10.1,85.0,3.6
Azerbaijan,2022,4.6,13.9,5.6,38.0,15.0,10.2,87.0,3.8
Azerbaijan,2023,1.1,8.8,5.5,27.0,16.5,10.3,88.0,3.9
Turkey,2020,1.9,12.3,13.1,169.0,219.0,84.3,77.7,4.7
Turkey,2021,11.4,19.6,12.0,225.0,271.0,84.8,81.4,4.9
Turkey,2022,5.5,72.3,10.4,254.0,363.0,85.3,83.0,5.0
Turkey,2023,4.5,53.9,9.4,256.0,361.0,85.8,86.0,5.1
Ukraine,2020,-3.8,2.7,9.5,49.0,54.0,43.8,75.0,4.2
Ukraine,2021,3.4,9.4,9.8,68.0,72.0,43.5,79.0,4.5
Ukraine,2022,-29.1,26.6,21.1,44.0,55.0,38.0,79.0,3.0
Ukraine,2023,5.3,12.9,18.5,36.0,63.0,37.0,82.0,3.1
Poland,2020,-2.0,3.4,3.2,254.0,254.0,37.9,84.5,7.8
Poland,2021,6.9,5.1,3.4,318.0,335.0,37.7,87.0,8.0
Poland,2022,5.3,14.4,2.9,360.0,381.0,37.7,88.5,8.1
Poland,2023,0.2,11.4,2.8,389.0,388.0,36.8,90.0,7.9
